,Winning_Team,number_wins,Game_Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Victory,Coaching,Affordability,Bang_for_Buck,Behavior
0,ARI,39,2010-09-12,LAR,ARI,13,13,0,95,90,68,56
1,ARI,39,2010-09-26,ARI,OAK,24,24,1,95,90,68,56
2,ARI,39,2010-10-10,ARI,NO,30,30,1,95,90,68,56
3,ARI,39,2010-12-12,ARI,DEN,43,43,1,95,90,68,56
4,ARI,39,2010-12-25,ARI,DAL,27,27,1,95,90,68,56
5,ARI,39,2011-09-11,ARI,CAR,28,28,1,95,90,68,56
6,ARI,39,2011-11-06,ARI,LAR,19,19,1,95,90,68,56
7,ARI,39,2011-11-13,PHI,ARI,17,17,0,95,90,68,56
8,ARI,39,2011-11-27,LAR,ARI,20,20,0,95,90,68,56
9,ARI,39,2011-12-04,ARI,DAL,19,19,1,95,90,68,56
10,ARI,39,2011-12-11,ARI,SF,21,21,1,95,90,68,56
11,ARI,39,2011-12-18,ARI,CLE,20,20,1,95,90,68,56
12,ARI,39,2012-01-01,ARI,SEA,23,23,1,95,90,68,56
13,ARI,39,2012-09-09,ARI,SEA,20,20,1,95,90,68,56
14,ARI,39,2012-09-16,NE,ARI,18,18,0,95,90,68,56
15,ARI,39,2012-09-23,ARI,PHI,27,27,1,95,90,68,56
16,ARI,39,2012-09-30,ARI,MIA,24,24,1,95,90,68,56
17,ARI,39,2012-12-16,ARI,DET,38,38,1,95,90,68,56
18,ARI,39,2013-09-15,ARI,DET,25,25,1,95,90,68,56
19,ARI,39,2013-09-29,TB,ARI,10,10,0,95,90,68,56
20,ARI,39,2013-10-06,ARI,CAR,22,22,1,95,90,68,56
21,ARI,39,2013-10-27,ARI,ATL,27,27,1,95,90,68,56
22,ARI,39,2013-11-10,ARI,HOU,27,27,1,95,90,68,56
23,ARI,39,2013-11-17,JAX,ARI,14,14,0,95,90,68,56
24,ARI,39,2013-11-24,ARI,IND,40,40,1,95,90,68,56
25,ARI,39,2013-12-08,ARI,LAR,30,30,1,95,90,68,56
26,ARI,39,2013-12-15,TEN,ARI,34,34,0,95,90,68,56
27,ARI,39,2013-12-22,SEA,ARI,10,10,0,95,90,68,56
28,ARI,39,2014-09-08,ARI,LAC,18,18,1,95,90,68,56
29,ARI,39,2014-09-14,NYG,ARI,14,14,0,95,90,68,56
30,ARI,39,2014-09-21,ARI,SF,23,23,1,95,90,68,56
31,ARI,39,2014-10-12,ARI,WSH,30,30,1,95,90,68,56
32,ARI,39,2014-10-19,OAK,ARI,13,13,0,95,90,68,56
33,ARI,39,2014-10-26,ARI,PHI,24,24,1,95,90,68,56
34,ARI,39,2014-11-02,DAL,ARI,17,17,0,95,90,68,56
35,ARI,39,2014-11-09,ARI,LAR,31,31,1,95,90,68,56
36,ARI,39,2014-11-16,ARI,DET,14,14,1,95,90,68,56
37,ARI,39,2014-12-07,ARI,KC,17,17,1,95,90,68,56
38,ARI,39,2014-12-11,LAR,ARI,6,6,0,95,90,68,56
39,ATL,47,2010-09-19,ATL,ARI,41,41,1,48,61,55,56
40,ATL,47,2010-09-26,NO,ATL,24,24,0,48,61,55,56
41,ATL,47,2010-10-03,ATL,SF,16,16,1,48,61,55,56
42,ATL,47,2010-10-10,CLE,ATL,10,10,0,48,61,55,56
43,ATL,47,2010-10-24,ATL,CIN,39,39,1,48,61,55,56
44,ATL,47,2010-11-07,ATL,TB,27,27,1,48,61,55,56
45,ATL,47,2010-11-11,ATL,BAL,26,26,1,48,61,55,56
46,ATL,47,2010-11-21,LAR,ATL,17,17,0,48,61,55,56
47,ATL,47,2010-11-28,ATL,GB,20,20,1,48,61,55,56
48,ATL,47,2010-12-05,TB,ATL,24,24,0,48,61,55,56
49,ATL,47,2010-12-12,CAR,ATL,10,10,0,48,61,55,56
50,ATL,47,2010-12-19,SEA,ATL,18,18,0,48,61,55,56
51,ATL,47,2011-01-02,ATL,CAR,31,31,1,48,61,55,56
52,ATL,47,2011-09-18,ATL,PHI,35,35,1,48,61,55,56
53,ATL,47,2011-10-02,SEA,ATL,28,28,0,48,61,55,56
54,ATL,47,2011-10-16,ATL,CAR,31,31,1,48,61,55,56
55,ATL,47,2011-10-23,DET,ATL,16,16,0,48,61,55,56
56,ATL,47,2011-11-06,IND,ATL,7,7,0,48,61,55,56
57,ATL,47,2011-11-20,ATL,TEN,23,23,1,48,61,55,56
58,ATL,47,2011-11-27,ATL,MIN,24,24,1,48,61,55,56
59,ATL,47,2011-12-11,CAR,ATL,23,23,0,48,61,55,56
60,ATL,47,2011-12-15,ATL,JAX,41,41,1,48,61,55,56
61,ATL,47,2012-01-01,ATL,TB,45,45,1,48,61,55,56
62,ATL,47,2012-09-09,KC,ATL,24,24,0,48,61,55,56
63,ATL,47,2012-09-17,ATL,DEN,27,27,1,48,61,55,56
64,ATL,47,2012-09-23,LAC,ATL,3,3,0,48,61,55,56
65,ATL,47,2012-09-30,ATL,CAR,30,30,1,48,61,55,56
66,ATL,47,2012-10-07,WSH,ATL,17,17,0,48,61,55,56
67,ATL,47,2012-10-14,ATL,OAK,23,23,1,48,61,55,56
68,ATL,47,2012-10-28,PHI,ATL,17,17,0,48,61,55,56
69,ATL,47,2012-11-04,ATL,DAL,19,19,1,48,61,55,56
70,ATL,47,2012-11-18,ATL,ARI,23,23,1,48,61,55,56
71,ATL,47,2012-11-25,TB,ATL,23,23,0,48,61,55,56
72,ATL,47,2012-11-29,ATL,NO,23,23,1,48,61,55,56
73,ATL,47,2012-12-16,ATL,NYG,34,34,1,48,61,55,56
74,ATL,47,2012-12-22,DET,ATL,18,18,0,48,61,55,56
75,ATL,47,2013-01-13,ATL,SEA,30,30,1,48,61,55,56
76,ATL,47,2013-09-15,ATL,LAR,31,31,1,48,61,55,56
77,ATL,47,2013-10-20,ATL,TB,31,31,1,48,61,55,56
78,ATL,47,2013-12-01,BUF,ATL,31,31,0,48,61,55,56
79,ATL,47,2013-12-15,ATL,WSH,27,27,1,48,61,55,56
80,ATL,47,2014-09-07,ATL,NO,37,37,1,48,61,55,56
81,ATL,47,2014-09-18,ATL,TB,56,56,1,48,61,55,56
82,ATL,47,2014-11-09,TB,ATL,17,17,0,48,61,55,56
83,ATL,47,2014-11-16,CAR,ATL,17,17,0,48,61,55,56
84,ATL,47,2014-11-30,ATL,ARI,29,29,1,48,61,55,56
85,ATL,47,2014-12-21,NO,ATL,14,14,0,48,61,55,56
86,BAL,59,2010-09-13,NYJ,BAL,9,9,0,90,81,74,6
87,BAL,59,2010-09-26,BAL,CLE,24,24,1,90,81,74,6
88,BAL,59,2010-10-03,PIT,BAL,14,14,0,90,81,74,6
89,BAL,59,2010-10-10,BAL,DEN,31,31,1,90,81,74,6
90,BAL,59,2010-10-24,BAL,BUF,37,37,1,90,81,74,6
91,BAL,59,2010-11-07,BAL,MIA,26,26,1,90,81,74,6
92,BAL,59,2010-11-21,CAR,BAL,13,13,0,90,81,74,6
93,BAL,59,2010-11-28,BAL,TB,17,17,1,90,81,74,6
94,BAL,59,2010-12-13,HOU,BAL,28,28,0,90,81,74,6
95,BAL,59,2010-12-19,BAL,NO,30,30,1,90,81,74,6
96,BAL,59,2010-12-26,CLE,BAL,10,10,0,90,81,74,6
97,BAL,59,2011-01-02,BAL,CIN,13,13,1,90,81,74,6
